width,height,pixels,baseline_mean,baseline_std,local_mean,local_std,speedup
100,67,6700,0.7381820250302553,0.09466384125772358,0.7617393248714507,0.11913944089841595,0.9690743288786215
160,107,17120,2.6269675503484904,0.1882513190932654,2.6730275167152286,0.28089781259789376,0.9827686149586147
256,171,43776,9.812610058113933,0.3993382576846733,10.38324304986745,1.1742108361611587,0.9450428937266567
360,240,86400,27.42342527480796,1.3073484443582215,27.790244066622108,0.6349518810460844,0.9868004472744188
440,294,129360,50.42852224977687,2.0478788202351303,50.00987050831318,0.8686133955449523,1.0083713822333153
512,342,175104,78.24304297510534,0.7988961252116553,77.57186283348128,1.3318500962441393,1.0086523659108824
