width,height,pixels,baseline_mean,baseline_std,multiscale_mean,multiscale_std,speedup
100,67,6700,0.8046316164545715,0.24606742685936883,0.31588446637615564,0.013924537891980714,2.547233884860977
160,107,17120,2.7126952918246388,0.21103259993045526,0.9873242330737412,0.05040389188884974,2.7475222434067748
256,171,43776,10.16154751656577,0.8314383131531122,4.021516825072467,1.327452805149773,2.5267947290964425
360,240,86400,32.177287549804895,4.327518195104973,12.217131858412177,6.190365306984011,2.633784092921043
440,294,129360,59.67697443338111,4.583688437335404,22.476051575131713,3.7254982760056916,2.655136033742234
512,342,175104,86.78085680035875,6.11281935433418,26.460628958325835,2.5255036086134868,3.279621846367834
